FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$End	Den Anruf korrekt in einem Wrap-Up zusammenfassen.	Ihr Fall wird bearbeitet und Sie werden möglicherweise von uns kontaktiert.					https://qoom.salt.ch/knowledge/handling/voice/wrap-up_for_customer_contacts
$Intro	100 % sicherstellen, dass der Anrufer als <em>rechtlicher INHABER<em> des Vertrags identifiziert ist.<N><N> Eine Vertragsverlängerung vorschlagen und eine Entschädigung gewähren, auch wenn der Kunde zuvor bereits einmal eine Entschädigung wegen Billshock erhalten hat.<N><N> Es ist wichtig, viel Verständnis und Empathie zu zeigen, wenn der Kunde über einen Rechnungsbetrag schockiert ist.<N> Falls ein technischer Fehler (unsererseits) vorliegt, wird der gesamte falsch in Rechnung gestellte Betrag entschädigt, z.B.: <N><T>- der Kunde wurde nicht wie erwartet benachrichtigt, <N><T>- das Profil wurde falsch konfiguriert, <N><T>- der Kunde hat ein Paket gekauft, das vom System nicht registriert wurde, was die Verrechnung pro Einheit zur Folge hatte. 	Sie sind schockiert über den Rechnungsbetrag? <N>Machen Sie sich keine Sorgen, sehen wir uns die Situation gemeinsam an.<N>Ich bin sicher, dass wir eine Lösung finden werden!					https://qoom.salt.ch/knowledge/handling/ticket/create_a_ticket_for_a_compensation_request
$capture.IsCompTicketOpened	MSISDN im SuperOffice-Format<N><T>Beginnt mit 0<N><T>Ist eine 10-stellige Nummer  <N><T>z. B.: 0781231234	Ich überprüfe, ob bereits ein Entschädigungsantrag hängig ist.		5.1.1 in Bearbeitung	Kein Ticket 5.1.1		
$ticket.TicketMobileFiveOneOne		Ich leite Ihren Fall an eine andere Abteilung weiter. Sie werden möglicherweise von uns kontaktiert.					
$capture.HighUsageData	In <Q>Schocking amount<Q> wird ausschliesslich der Betrag des Verbrauchs notiert.	Wurde der Rechnungsbetrag durch eine hohe Nutzung von Internetdaten verursacht?			Nein, andere Ursache		
$capture._HowMadeHugeAmount		Auf welche Weise haben Sie diese Internetdaten verbraucht?					
$capture._ElligibleForRet	Siehe Marilyn: Standard ret oder eRet	Ich überprüfe, ob Sie eventuell zu einer Vertragsverlängerung berechtigt sind:					https://qoom.salt.ch/productservices/administration/early_retention-early_renewal
$capture._SelectPP	Unter RC sind die häufigsten wiederkehrenden Kosten aufgelistet. Falls eine Gebühr nicht in der RC-Liste aufgeführt ist, wählt ihr jene aus, die der betreffenden Gebühr am nächsten kommt.	Ich überprüfe Ihren Vertrag					
$capture.WhatDasAboCHWish		Welche Art Kommunikationen in die EU und die USA möchten Sie tätigen?		Unlimitierte Anrufe und Internetdaten	Nur unlimitierte Anrufe 	Nicht mehr benötigt	
$capture.WhatDasAboABWish		Welche Art Kommunikationen in die EU und die USA möchten Sie tätigen?		Unlimitierte Anrufe und Internetdaten	Nur unlimitierte Anrufe 	Nicht mehr benötigt	
$capture.AcceptRenewalPlan	Wenn die Vertragsverlängerung akzeptiert wird, dann wird das gesamte Billshock kompensiert!	Wir können Ihnen eine Vertragsverlängerung mit dem Preisplan <N><em><PP><em> zum Sonderpreis von <em><RC><em> statt <STANDARD> anbieten.<N>Ist das OK für Sie?		Akzeptiert	Lehnt ab		
$decide.AlternativeCompensation	Im Detail: Um die Entschädigung zu berechnen, wird der Betrag durch zwei geteilt: <FORMULA>	Wir können Ihnen eine Entschädigung von 50% (also CHF <em><COMP><em>) auf CHF <AMOUNT> gewähren. 		Akzeptiert	Lehnt ab		
$decide.SimplComp	Im Detail: Um die Entschädigung zu berechnen, wird der Betrag durch zwei geteilt, wobei der zu bezahlende Betrag jedoch auf maximal CHF 150.- begrenzt ist: <N><FORMULA><N><N>Zu bezahlender Endbetrag:<em><PAY><em>	Wir können Ihnen eine Entschädigung von CHF <em><COMP><em> auf den Rechnungsbetrag von CHF <AMOUNT> gewähren. 		Akzeptiert	Lehnt ab		
$decide.ActivateInternetEurope	Im Detail : <FORMULA><N><N>Zu bezahlender Endbetrag: <em><PAY><em> in diesem Monat + <OPTION> x (Anzahl verbleibende Monate bis Vertragsende).	Wenn Sie die Option Internet Europe für CHF <OPTION>/Monat<N> aktivieren, können wir Ihnen eine Entschädigung von CHF <em><COMP><em> gewähren.		Akzeptiert	Lehnt ab		
$hello.world	DETAILS	TITLE	ILLUSTRATION			MID-BTN	QOOK
$flow.TutoTree			ui/tutoKeyboardDE				
